M,h,u,w,theta,delta_e,T,Tcom,gamma
0.3,1000,100.091310768014,12.9860566547675,0.338460890080315,0.0179524150313363,24163.1453410124,40.7741983064515,12.0000000000016
0.3,1000,100.102314686937,12.9009593836055,0.355064032992907,0.0170022450987301,25672.7896411405,43.3216537472443,13.0000000000013
0.3,1000,100.10231468694,12.9009593835787,0.355064032992614,0.0170022450958188,25672.7896414285,43.3216537477302,12.9999999999998
0.3,1000,100.102314686941,12.9009593835734,0.355064032992606,0.0170022450951729,25672.7896414262,43.3216537477263,13.0000000000024
0.3,1000,100.102314686941,12.9009593835746,0.355064032992545,-0.0170022450963192,25672.7896414296,43.3216537477321,12.9999999999982
0.3,1000,100.113710375975,12.8122267172977,0.371630956297715,0.0160495583081534,27173.5140490007,45.8540572793939,14.0000000000025
0.3,1000,100.11371037598,12.8122267172604,0.371630956297313,0.0160495583036999,27173.514049217,45.8540572797589,14.0000000000008
0.3,1000,100.113710375981,12.8122267172478,0.371630956297144,-0.0160495583023474,27173.514049273,45.8540572798533,13.9999999999983
0.3,1000,100.113710375981,12.8122267172493,0.37163095629723,0.0160495583029653,27173.5140492848,45.8540572798732,14.0000000000023
0.3,1000,100.125482084656,12.719905503391,0.388162139551927,0.015093543843491,28664.910589482,48.3707204636328,15.0000000000024
0.3,1000,100.125482084662,12.7199055033419,0.388162139551359,-0.0150935438391093,28664.9105898465,48.3707204642479,14.999999999998
0.3,1000,100.125482084662,12.719905503345,0.388162139551425,0.015093543839683,28664.9105898416,48.3707204642396,14.9999999999999
0.3,1000,100.125482084663,12.7199055033364,0.388162139551391,0.0150935438387052,28664.9105899011,48.37072046434,15.0000000000029
0.3,1000,100.137613825788,12.6240427746983,0.404658064255946,0.0141333736150254,30146.5756478162,50.8709622185718,16.0000000000022
0.3,1000,100.137613825792,12.6240427746644,0.404658064255567,0.0141333736112448,30146.5756481298,50.870962219101,15.9999999999999
0.3,1000,100.137613825793,12.6240427746534,0.404658064255513,0.0141333736116647,30146.5756480396,50.8709622189488,16.0000000000031
0.3,1000,100.137613825793,12.624042774654,0.404658064255435,-0.0141333736116591,30146.5756480709,50.8709622190016,15.9999999999983
0.3,1000,100.150089395966,12.5246857317843,0.421119213642101,0.0131681985809841,31618.1099794311,53.3541088373266,17.0000000000005
