M,h,u,w,theta,delta_e,T,Tcom,gamma
0.8,10000,239.470044955348,6.93997955931012,0.091031848291458,-0.00541670170772042,5003.78448168843,16.9485928821808,3.55574070837574
0.8,10000,239.471252562938,6.89818404637669,0.119991633456578,-0.00502488743109626,7534.50309900781,25.5205287241953,5.2250141739427
0.8,10000,239.472452875816,6.85638832331255,0.144562092622949,-0.00472714165542044,9675.49206967502,32.7723899028434,6.64279778487429
0.8,10000,239.473645893946,6.81459239139088,0.166295650192804,-0.00449046460212047,11563.4570379658,39.1672196043381,7.89803890743155
0.8,10000,239.474831617292,6.77279625188485,0.186001876958995,-0.00429762239417329,13269.7922623779,44.9468412377078,9.03712253126203
0.8,10000,239.476010045818,6.73099990606766,0.204166430857555,-0.00413826191419831,14837.3877659289,50.2565299524896,10.0878748063874
0.8,10000,239.477181179487,6.68920335521248,0.221107794707637,-0.00400558441328894,16294.4091475305,55.191686993679,11.0685434541926
0.8,10000,239.477181179487,6.68920335521248,0.221107794707637,-0.00400558441328886,16294.4091475305,55.191686993679,11.0685434541926
0.8,10000,239.477181179487,6.68920335521248,0.221107794707638,-0.00400558441328896,16294.4091475305,55.1916869936792,11.0685434541927
0.8,10000,239.478345018263,6.64740660059251,0.237048197979678,-0.00389483939583963,17660.5368006224,59.8189729013907,11.9918612854171
0.8,10000,239.478345018263,6.64740660059252,0.237048197979677,-0.00389483939583958,17660.5368006223,59.8189729013905,11.9918612854171
0.8,10000,239.479501562113,6.60560964348097,0.25214999053848,-0.0038025516889973,18950.1678630383,64.1871530108837,12.8671302621185
0.8,10000,239.479501562113,6.60560964348097,0.252149990538481,-0.00380255168899733,18950.1678630383,64.1871530108839,12.8671302621186
0.8,10000,239.480650810999,6.56381248515105,0.266536049093887,-0.00372608754172778,20174.2137077289,68.3331858319828,13.7013907011714
0.8,10000,239.480650810999,6.56381248515105,0.266536049093887,-0.0037260875417278,20174.2137077289,68.3331858319829,13.7013907011715
0.8,10000,239.481792764888,6.52201512687596,0.280302028967438,-0.00366339395531755,21341.1798048461,72.2858807091756,14.500123248788
0.8,10000,239.481792764888,6.52201512687596,0.280302028967439,-0.00366339395531758,21341.1798048461,72.2858807091757,14.500123248788
0.8,10000,239.482927423744,6.48021756992893,0.293524121963006,-0.00361283352494914,22457.8499181826,76.068215300903,15.2676933737635
0.8,10000,239.482927423744,6.48021756992893,0.293524121963007,-0.0036128335249492,22457.8499181826,76.0682153009031,15.2676933737635
0.8,10000,239.484054787533,6.43841981558319,0.306264184308763,-0.00357307520347848,23529.7386365985,79.6988683735756,16.0076451769089
0.8,10000,239.484054787533,6.43841981558319,0.306264184308755,-0.00357307520347863,23529.7386365977,79.6988683735729,16.0076451769084
0.8,10000,239.485174856221,6.39662186511197,0.318573248531351,-0.00354301944540379,24561.4014805115,83.1932701802765,16.7229026066187
0.8,10000,239.485174856221,6.39662186511197,0.318573248531351,-0.00354301944540378,24561.4014805115,83.1932701802765,16.7229026066187
0.8,10000,239.486287629773,6.35482371978849,0.330494001254676,-0.0035217453602452,25556.6538308882,86.5643440071566,17.4159114262842
0.8,10000,239.486287629773,6.35482371978849,0.330494001254675,-0.00352174536024516,25556.6538308882,86.5643440071566,17.4159114262842
0.8,10000,239.487393108156,6.31302538088603,0.34206257634128,-0.0035084724452077,26518.7294610022,89.8230431450474,18.0887419537269
0.8,10000,239.487393108156,6.31302538088603,0.34206257634128,-0.00350847244520774,26518.7294610022,89.8230431450473,18.0887419537269
0.8,10000,239.488491291335,6.27122684967781,0.353309881287438,-0.00350253226158524,27450.397874363,92.9787483311971,18.7431650580383
0.8,10000,239.488491291335,6.27122684967781,0.353309881287438,-0.00350253226158524,27450.3978743631,92.9787483311973,18.7431650580383
0.8,10000,239.488491291335,6.27122684967781,0.353309881287438,-0.00350253226158523,27450.397874363,92.9787483311972,18.7431650580383
0.8,10000,239.489582179278,6.2294281274371,0.36426259727632,-0.00350334706696677,28354.0528268145,96.0395675873253,19.3807094584067
0.8,10000,239.489582179278,6.2294281274371,0.364262597276319,-0.00350334706696677,28354.0528268144,96.039567587325,19.3807094584067
0.8,10000,239.490665771951,6.18762921543715,0.374943945954735,-0.00351041342195157,29231.7802406424,99.0125662552212,20.0027056571875
0.8,10000,239.490665771951,6.18762921543715,0.374943945954735,-0.00351041342195155,29231.7802406424,99.0125662552213,20.0027056571876
